trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.7792876857020469}",25,0,-54.8021921479979,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.7741903541773254}",30,0,-45.28327371993599,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7681175481957705}",20,0,-64.24740090516005,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7640954981871572}",20,0,-115.50269391412658,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7600945086090858}",25,0,-77.37855721120998,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7551227199210477}",30,0,-122.43089848301244,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7491994818626021}",30,0,-100.99738490379308,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.743322706118389}",25,5,-94.80365269915474,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.7394304879239624}",30,0,-121.05850906017578,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7336303408854729}",20,0,-156.90666478956967,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.7297888742690568}",25,0,-148.3186967892571,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7250153151541693}",20,0,-141.38301058616767,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.7212189589045169}",30,0,-93.40339833123224,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7155616644368012}",20,0,-34.91978513569168,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7118148097979877}",20,0,-134.29777454629854,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.7080875745999327}",25,0,-128.78667541338427,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7034559639861704}",30,0,-52.749765615108046,"{0: 20, 1: 7, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.6979380037548069}",25,0,-110.19099851433108,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.693372781624246}",25,0,-77.66401187019844,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6888374206747488}",25,0,-110.70000616619106,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6843317255839172}",30,0,-204.28481174195468,"{0: 17, 1: 7, 2: 1, 3: 1, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.6789637772827402}",20,0,-134.27797012422667,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.675408558068334}",20,0,-38.68992994703358,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6718719548450681}",20,0,-37.25054281162179,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6683538701350923}",25,7,-216.14472419462274,"{0: 7, 1: 3, 2: 3, 3: 1, 4: 4}",1
67,False,"{'a': 0.5, 'e': 0.6652033470708907}",20,0,-116.98393485105738,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.6617201808105957}",25,0,-71.54512293987855,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.6573918599605727}",20,0,-90.5781906851572,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6539495965436942}",20,0,-14.371359080480438,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6505253576539705}",25,0,-97.36271711178915,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.6462702622969676}",25,0,-39.63604896124319,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6420429995775154}",25,0,-98.50712030358896,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6378433874419472}",30,0,-226.05235330703516,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.6328400970784697}",20,13,12.24576433012697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6316783211086459}",20,0,-57.44925378586721,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6283707000253578}",25,0,-85.54505908985148,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.6242605185901603}",25,0,-122.22530952800601,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.6201772219085478}",25,0,-78.0478817708732,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6161206341269756}",20,0,-101.04595023918958,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.6128944768706833}",25,0,-39.01135140412169,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6088855256250774}",20,0,-179.25471216080635,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.6056972531538426}",25,0,-130.73557618643554,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.60173537904806}",20,12,-22.454245605553922,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6004730606502787}",20,0,-58.22409705051064,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5973288378884977}",25,0,-67.10776665365648,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5934217017026471}",30,0,-83.21975624384358,"{0: 18, 1: 9, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.5887668583036825}",25,0,-107.24305273754453,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.5849157261446534}",30,0,-134.16961810032456,"{0: 21, 1: 5, 2: 1, 3: 0, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.5803276042425}",25,0,-85.93861547714229,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5765316733609457}",30,17,5.075746485901188,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5745676121110921}",20,6,-86.97733758235587,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.572459951335365}",20,0,-83.86389779303099,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.5694624120165362}",20,0,-90.82337569340048,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.56648056854149}",30,0,-115.58973882276732,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.5620370533691407}",30,12,5.1714131478321566,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5593876923364628}",30,0,-65.37683601573255,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5549998142058461}",20,10,15.753626202155298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5535448501693211}",20,0,-66.20778763614454,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.550646354913457}",30,0,-90.60303894408125,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.5463270444754018}",20,0,-69.96552731591201,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.543466343402891}",30,0,-148.45728849660742,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.5392033535023026}",20,0,-66.83884676711538,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5363799538056125}",30,11,6.151487871928818,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.53371141897642}",25,0,-174.33909894186982,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.5302204052070938}",25,0,-109.24922039179843,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.5267522262070908}",25,0,-52.864670283309124,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.5233067326138696}",30,1,-6.250690364473335,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.5193381845626794}",25,0,-52.06968153279704,"{0: 18, 1: 6, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.515941186318343}",25,0,-53.434266873714535,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.5125664078864812}",25,0,-68.752922558509,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.5092137039269938}",20,0,-4.233112361270472,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.5065473373180336}",25,0,-56.97730849310064,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.5032340041823395}",20,3,-66.84135474422871,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.5009933256709916}",25,0,-12.168733102285831,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.49771632140225713}",25,0,-72.98291446365515,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.4944607520637444}",25,0,-53.540120883946415,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.4912264774492785}",30,0,-63.85586090125577,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.48737326089283856}",30,19,-11.4271757437715,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.485968000423195}",30,0,-55.91427220441769,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.4821560317466409}",20,0,-96.59195517325072,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.47963134567978216}",25,11,-26.986665609914642,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.4778719353809939}",20,0,11.417190021413571,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.47536968188303663}",30,0,-28.393054469083964,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.471640847195272}",20,0,0.05852971612669977,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.4691712211881851}",20,0,-6.344313995622247,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.4667145267425843}",20,0,-12.77368326718524,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.46427069614567346}",30,6,-53.26385031974847,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.4613549848941067}",25,0,-63.810162619486086,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.4583372555603376}",20,0,-10.195653912762817,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.4559372903896363}",30,0,-153.8028664677636,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.45236088480753067}",20,0,-1.7134585548261008,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.44999221336536654}",25,0,-91.00934620235287,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.44704880807724107}",30,7,-19.559546413531226,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.4443578823046481}",20,0,-67.27722498479777,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.4420311165270028}",30,4,-81.00644593337667,"{0: 16, 1: 7, 2: 1, 3: 1, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.43902452581823015}",30,1,-89.28470741928437,"{0: 20, 1: 6, 2: 1, 3: 0, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.435695140167757}",20,0,-6.762780697348969,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.43341373461156224}",30,0,-153.07048559035212,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.4300140054547271}",20,0,-27.16762085817279,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.42776234769947136}",20,2,-104.83511946588729,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.42574593812567507}",20,0,-63.54300952637667,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.4235166290073928}",25,0,-45.38808929582905,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.4207464008825401}",25,0,-32.345445428403636,"{0: 16, 1: 8, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.4179942928581466}",30,0,-92.29243651754979,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.41471551493456715}",30,0,-123.99445553322144,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.411462455985758}",30,6,-11.673621907241575,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.4088783908649679}",30,0,-64.74167692509114,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.4056711187459399}",30,16,-10.802833911816439,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.4041830134528403}",20,0,-1.2563316111876013,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.40206661304439}",25,8,-30.182811871172234,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.4002763881937406}",25,0,-30.764936655833814,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.3976581748053133}",20,0,-84.53208544205971,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.3955759400364844}",20,12,6.441618937368342,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.3947461021971045}",35,0,-19.371422774732125,"{0: 27, 1: 5, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.39113598176808945}",25,0,-69.65681667943042,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.38857755590444554}",30,3,-51.81003987316841,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.3858332491020126}",30,1,18.932471294857372,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.38290724472756105}",20,1,13.407817382468634,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.38100224937556115}",35,12,-21.539956518977927,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.37870887837504297}",30,0,-114.44673535433425,"{0: 19, 1: 7, 2: 1, 3: 1, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.3757382581271224}",25,0,4.566780333776245,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.3732805489866657}",20,0,8.732995535874766,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.37132596138637775}",20,0,21.39177632899871,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.36938160848140833}",20,0,-71.73793963358956,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.3674474366804074}",25,12,-18.874097385358645,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.3661956593625457}",20,0,-17.903364536423542,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.3642781699647929}",20,0,-43.33863464181228,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.36237072100716133}",20,0,-50.55750802407424,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.3604732599154684}",20,3,-7.860179886139667,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
